,T00,T01,T02,T03,T04
T00,3.4416913763379853e-15,0.8692212041390298,0.8182329886492286,0.8600287807750298,0.8082597463067331
T01,0.8692212041390298,-2.220446049250313e-16,0.9478883326538349,0.9216013527566194,0.9748350220477544
T02,0.8182329886492286,0.9478883326538349,4.440892098500626e-16,0.9292723800804717,0.9625294988244435
T03,0.8600287807750298,0.9216013527566194,0.9292723800804717,2.3314683517128287e-15,0.9135081018550537
T04,0.8082597463067331,0.9748350220477544,0.9625294988244435,0.9135081018550537,-4.440892098500626e-16
